,id,cuisine,ingredients_string,pred
38688,17799,indian,ground ginger salt leg of lamb ground cumin ground cloves ground coriander ground turmeric ground cinnamon less sodium beef broth chopped cilantro fresh saffron threads chili powder low fat yogurt canola oil,indian
13677,11542,indian,tumeric fresh ginger cinnamon oil onion plain flour canola yoghurt garlic cooking cream nutmeg steamed rice chicken breasts salt chilli fresh coriander garam masala diced tomatoes lemon juice cumin,indian
38783,47790,indian,ground coriander pepper ground cumin salt,indian
7675,8898,indian,ground ginger vegetable oil cooking spray ground coriander salmon fillets coarse salt low fat plain yogurt ground black pepper tumeric cayenne pepper,indian
13675,5656,indian,lemon stewed tomatoes black mustard seeds chili pepper cilantro salt ghee fennel seeds raw sugar garlic dried chile masoor dal ginger cumin seed ground turmeric,indian
29503,9664,indian,neutral oil butter salt cumin plain yogurt paneer onion green chile ginger hot curry powder spinach garlic chopped cilantro,indian
34891,19324,indian,plain yogurt diced tomatoes carrot brown basmati rice chicken broth minced ginger salt onion curry powder garlic chopped cilantro canola oil black pepper heavy cream cayenne pepper chicken thighs,indian
35676,40455,indian,chili flakes pepper fennel potato vegetable oil salt ground coriander jaggery granny smith apples amchur cayenne seed star anise tamarind paste mustard seeds ground turmeric clove plain yogurt fresh ginger granulated sugar apple cider vinegar garlic green chilies frozen peas ground cumin warm water water garam masala mint leaves cilantro all purpose flour cardamom green,indian
25888,46394,indian,clove garam masala boneless skinless chicken breasts ginger onion black pepper whole milk yoghurt sunflower oil salt ground cumin fresh cilantro wheel paprika fresh lemon juice serrano chilies cayenne heavy cream garlic plum tomatoes,indian
18479,26979,indian,salt curry powder cumin seed chickpea flour okra olive oil,indian
3467,29098,indian,tumeric potato mustard oil eggplant salt chilli fresh coriander ginger mustard seeds tomato garam masala cumin seed onion,indian
28335,2495,indian,water salt seed coriander papad oil chili powder,indian
34903,21256,indian,curry powder cilantro garlic paste chile pepper cumin seed tomato eggplant salt plain yogurt vegetable oil onion,indian
29451,19799,indian,tomato salt medium shrimp ground cumin unsweetened coconut milk garlic tart apples chopped cilantro fresh fresh ginger ground cayenne pepper frozen peas curry powder ground coriander onion,indian
19582,5773,indian,yellow corn meal light molasses maple syrup vanilla beans cinnamon vanilla ice cream unsalted butter dark brown sugar milk ginger,southern_us
20813,2291,indian,ground ginger green bell pepper coriander powder lemon salt green chilies onion tomato pur e cream chili powder kasuri methi tomato ketchup cinnamon sticks ginger paste clove garlic paste garam masala vegetable oil paneer brown cardamom red bell pepper tomato sugar yoghurt cornflour cilantro leaves cumin seed olive,indian
7558,36429,indian,fresh ginger ground red pepper mustard seeds tomato sauce garam masala red wine vinegar chopped cilantro fresh fat free less sodium chicken broth pork tenderloin diced tomatoes canola oil garlic powder brown rice onion,indian
27783,40707,indian,ground ginger Nutella ground cloves ground cardamom coconut flakes cinnamon unsweetened coconut milk banana coconut milk yogurt,indian
33994,2287,indian,ice cubes yoghurt sugar mango,indian
24182,11880,indian,flour salt onion curry leaves seed oil ajwain ginger corn flour mint leaves green chilies,indian
25075,1672,indian,sugar condensed milk powdered milk saffron milk cardamom pods nutmeg pistachio,indian
7572,36158,indian,pepper cayenne chopped cilantro fresh pomegranate seeds cucumber lime juice salt ground cumin sugar garbanzo beans onion,mexican
4895,7581,indian,sugar crushed ice water fresh lime juice vodka tamarind concentrate orange pineapple slices,indian
30677,4596,indian,salmon fillets peeled fresh ginger garlic cloves plain whole milk yogurt kosher salt vegetable oil cucumber ground cumin ground black pepper scallion chopped cilantro fresh garam masala ground coriander fresh lime juice,indian
38774,40351,indian,water salt lemon juice fresh tomatoes mung beans garlic cloves fresh ginger cayenne pepper ground turmeric black pepper extra virgin olive oil black mustard seeds,indian
24104,43976,indian,almond raisin cranberry nutmeg powdered milk salt ghee cold water dry coconut khoa ground cardamom sugar half   half all purpose flour cashew nuts,indian
6425,11838,indian,mild curry paste onion chickpea cherry tomatoes basmati rice spinach lemon juice,indian
26303,7566,indian,olive oil cream of coconut yellow split peas tomato paste ginger red bliss potato frozen peas water garlic salt chopped cilantro fresh cinnamon curry onion,indian
37184,34510,indian,curry powder garlic corn starch long grain white rice chicken broth cayenne chopped onion chutney banana salt cucumber ground cumin dried currants nonfat yogurt lamb salad oil,indian
30651,36143,indian,olive oil ginger ground cardamom ground cumin ground cloves ground black pepper salt onion ground nutmeg garlic cinnamon sticks crushed tomatoes bay leaves skinless chicken thighs ground turmeric,indian
12163,37120,indian,curry powder yellow mustard salt tomato jalapeno chilies cracked black pepper onion tumeric vegetable oil garlic potato cilantro chicken pieces,indian
17906,5412,indian,tomato mint leaves anise salt coriander saffron clove milk shallot garlic cardamom basmati rice nutmeg almond vegetable oil purple onion ghee nut tumeric yoghurt ginger green chilies cashew nuts chicken,indian
5398,21023,indian,water vegetable oil baking soda ground cardamom milk all purpose flour sugar powdered milk ghee,indian
2191,44954,indian,basmati rice cumin seed water frozen peas,indian
30736,33795,indian,eggplant onion reduced fat coconut milk baby spinach yellow peppers red lentils mango chutney frozen peas low sodium vegetable stock curry paste brown basmati rice,indian
4749,42157,indian,fenugreek leaves water coriander powder salt mustard seeds onion clove asafoetida amchur star anise green chilies bay leaf tomato red chili peppers garam masala garlic cumin seed ghee red chili powder pigeon peas ginger cilantro leaves cinnamon sticks ground turmeric,indian
36176,35824,indian,lite coconut milk Massaman curry paste peanut scallion kale chickpea butternut squash onion,thai
7901,16624,indian,fresh cilantro purple onion ground coriander ground turmeric ground ginger vegetable oil brown rice flour mustard seeds whole wheat flour rice vinegar cumin seed ground cumin water garlic cayenne pepper white sugar,indian
25847,8684,indian,sesame oil dried red chile peppers sesame seeds salt,korean
21122,41080,indian,cooked rice fresh ginger diced tomatoes freshly ground pepper fresh lime juice cauliflower fresh cilantro yukon gold potatoes chickpea juice serrano chilies olive oil floret liquid coarse kosher salt water garam masala yellow onion cumin seed ground turmeric,indian
13951,1908,indian,red chili powder green chilies chickpea flour ginger dried red chile peppers mung beans garlic cloves curry leaves salt onion,indian
11631,9887,indian,english cucumber plain whole milk yogurt urad dal onion vegetable oil black mustard seeds plum tomatoes cumin seed chopped cilantro fresh,indian
1101,44543,indian,water ginger oil cauliflower yellow lentils garlic onion curry powder vegetable broth curry paste tumeric cilantro salt apricot,indian
28421,10765,indian,paprika serrano chile cauliflower ground coriander plum tomatoes peanut oil ground turmeric kosher salt black mustard seeds,indian
3537,6192,indian,tumeric garlic ghee potato cumin seed red chili peppers salt onion spinach leaves ginger black mustard seeds,indian
29346,27325,indian,coconut oil curry powder zucchini yellow onion frozen peas basmati rice lite coconut milk garam masala garlic chickpea cashew nuts slivered almonds fresh ginger vegetable broth cayenne pepper panko breadcrumbs ground cumin tomato paste fresh coriander ground black pepper salt cumin seed chopped cilantro fresh,indian
21076,26685,indian,coconut salt curd ground cumin curry leaves vermicelli rice ground turmeric semolina cilantro leaves carrot pepper ginger green chilies bottle gourd,indian
23942,25663,indian,pepper salt ground cumin olive oil lemon juice cooking spray chutney minced garlic lamb loin chops,indian
4772,14753,indian,fresh ginger root green chilies fresh coriander chili powder ghee potato cumin seed amchur salt coriander,indian
3519,48055,indian,red chili peppers grapeseed oil hot water plain flour tamarind pulp margarine onion palm sugar ginger cucumber coconut oil yoghurt black mustard seeds coriander,indian
31025,451,indian,salt fresh mint whole milk yoghurt,indian
25179,20989,indian,anise seed fresh ginger root poppy seeds cumin seed olive oil chili powder cilantro dried red chile peppers shredded coconut tamarind pulp chicken meat ground cardamom coriander seeds chile pepper garlic onion,indian
1136,12164,indian,peeled fresh ginger curry powder chopped cilantro fresh olive oil large shrimp unsweetened coconut milk onion,indian
38898,35047,indian,garam masala cumin seed black pepper salt onion black gram ghee amchur green chilies,indian
36173,47984,indian,asafoetida coriander seeds oil tomato minced garlic salt ground turmeric red chili powder water cumin seed red chili peppers arhar onion,indian
11681,20783,indian,asafoetida salt cumin mustard ginger oil curry leaves urad dal dried red chile peppers grated coconut green chilies mango,indian
1089,16035,indian,tomato water cooking oil ground coriander tumeric ground black pepper garlic onion brown sugar fresh ginger jalapeno chilies lemon juice unsweetened coconut milk sole fillet cayenne salt ground cumin,indian
11536,19623,indian,tomato salt ground turmeric seed green chilies coriander powder cilantro leaves fish garlic oil,indian
23842,28911,indian,shredded coconut paprika onion tumeric vegetable oil asafoetida powder turnip leaf mustard seeds water salt,indian
33672,33782,indian,red chili powder garlic onion ground cumin water salt chopped cilantro fresh cream paneer white sugar tomato cooking oil ground coriander ground turmeric,indian
19401,12991,indian,curry powder green peas mustard seeds whole wheat dough sweet potatoes chopped onion olive oil salt water ground red pepper garlic cloves,indian
27609,31504,indian,red chili powder green chilies ground cumin fresh coriander black salt salt chutney sweet potatoes lemon juice,indian
11495,43245,indian,egg butter greek style plain yogurt milk garlic sugar sea salt yeast melted butter whole wheat flour all purpose flour,indian
39008,29144,indian,tomato minced garlic purple onion ground cumin tomato paste kosher salt vegetable oil serrano chile sugar garam masala chopped cilantro fresh reduced fat coconut milk fresh ginger lemon juice,indian
8019,39017,indian,chili powder tomato pur e cumin seed salt ketchup onion,mexican
11516,14274,indian,ground cardamom slivered almonds ghee chickpea flour confectioners sugar chocolate,indian
23868,20408,indian,fresh cilantro potato vegetable oil salt corn starch ground cumin tumeric chopped tomatoes butternut squash paprika ground coriander bay leaf water unsalted butter chili powder cauliflower florets garlic cloves onion fresh ginger fenugreek cinnamon chickpea red bell pepper,indian
38956,5873,indian,fresh peas vegetable stock onion red chili peppers lime wedges natural yogurt Madras curry powder tumeric new potatoes ginger coriander lime vegetable oil cumin seed naan,indian
37523,48809,indian,milk ghee chopped nuts khoa raisin sugar carrot,indian
15116,10447,indian,fresh cilantro cumin seed extra virgin olive oil onion ground black pepper english cucumber fat free yogurt salt,indian
27620,32385,indian,red chili powder garam masala greek yogurt lime juice red pepper flakes chat masala coriander powder ground cumin brussels sprouts olive oil salt,indian
37105,36014,indian,salt onion vegetable oil,indian
23855,25553,indian,chili flakes fresh ginger baby spinach salt bird chile tumeric potato heavy cream lemon juice chopped garlic spinach finely chopped onion butter grated nutmeg chopped cilantro fenugreek leaves olive oil vegetable oil ginger corn starch,indian
38013,32906,indian,red kidney beans black pepper bay leaves salt chopped cilantro tumeric garam masala heavy cream cumin seed canola oil tomato paste fresh ginger butter yellow onion dhal sugar cayenne garlic chilli,indian
1066,24843,indian,water lemon juice active dry yeast ghee flour sugar yellow food coloring,indian
16056,5421,indian,tomato paste diced tomatoes yellow onion garam masala cilantro chicken thighs olive oil paprika coconut milk coarse salt garlic,indian
7752,25014,indian,tomato garbanzo beans purple onion chaat masala water agave nectar roasted peanuts pepper corn husks cilantro leaves mango lime mint leaves english cucumber,indian
4816,24131,indian,tumeric curry powder yellow bell pepper cilantro leaves yellow mustard seeds yukon gold potatoes garlic cumin seed yellow summer squash corn kernels cauliflower florets yellow onion chicken broth water butter salt carrot,indian
16060,14369,indian,purple onion lemon juice radish cumin seed pepper salt plain whole milk yogurt mint leaves english cucumber,indian
16062,24855,indian,water gram flour salt chili powder ground turmeric spinach oil,indian
38832,2498,indian,tumeric onion powder garlic garam masala paprika lemon juice black pepper chicken drumsticks salt red chili powder yoghurt ginger cumin,indian
25138,43219,indian,serrano chilies fresh ginger salt chopped cilantro fresh lime juice garlic fresh mint tumeric potato cumin seed caraway seeds chili purple onion salad oil,indian
19632,31830,indian,sesame seeds chile pepper cilantro leaves coconut milk fresh ginger root garlic ground coriander kalonji tomato pur e chili powder salt cumin seed ground turmeric eggplant vegetable oil fenugreek seeds onion,indian
33881,17926,indian,fresh curry leaves chile de arbol tamarind concentrate asafoetida coriander seeds cumin seed cooked rice pearl onions peanut oil ground turmeric kosher salt chana dal black mustard seeds,indian
35654,44557,indian,cauliflower fennel vegetable oil garlic lemon juice serrano chile tumeric brown rice cilantro sprigs cumin seed onion red kidney beans cayenne ginger ground coriander bay leaf green cardamom pods garam masala floret salt cinnamon sticks plum tomatoes,indian
19525,34924,indian,fenugreek leaves garam masala garlic cumin seed tomato coriander seeds raw cashews green chilies cauliflower water ginger salt coriander tumeric chili powder purple onion ghee,indian
11956,12401,indian,cardamom jaggery salt ghee wheat flour oil toor dal,indian
2988,9520,indian,chicken stock cream garam masala cilantro leaves lemon juice ground cumin tomato fresh ginger jalapeno chilies cumin seed chicken thighs tomato paste kosher salt unsalted butter yellow onion greek yogurt neutral oil almond cinnamon garlic cloves ground turmeric,indian
35664,30781,indian,tomato ajwain kasuri methi chapati flour tumeric minced ginger salt lentil green bell pepper minced garlic paneer oil tomato paste red chili peppers coriander seeds chopped onion canola oil,indian
17870,27253,indian,clove garam masala kasuri methi oil ghee ground ginger chili powder curd cinnamon sticks ground turmeric fennel seeds coriander powder salt cardamom onion tomato spice cumin seed bay leaf baby potatoes,indian
2228,2207,indian,lime onion powder chicken leg quarters onion chicken bouillon garam masala salt sour cream ground cumin water jalapeno chilies cayenne pepper coconut milk tomato paste olive oil diced tomatoes mustard seeds basmati rice,indian
30843,28499,indian,ground black pepper chickpea curry powder tomatoes with juice onion ground chicken fat free greek yogurt chopped cilantro olive oil salt,indian
11924,23254,indian,water flour ground cumin cold water semolina salt amchur baking powder mint chili paste ginger paste,japanese
2229,36902,indian,baby spinach leaves red capsicum curry green beans ground turmeric sugar coriander seeds ginger cumin seed curry paste olive oil button mushrooms salt coconut milk red chili peppers potato garlic carrot onion,indian
11934,3937,indian,tomato ketchup vegetable dough butter oil cilantro leaves,japanese
20922,2663,indian,water vegetable oil onion fresh ginger root garlic garbanzo beans spice tomato garam masala salt,indian
24055,37080,indian,lime rind chopped fresh mint purple onion kosher salt chopped cilantro fresh tomato fresh lime juice,mexican
37475,49712,indian,garam masala salt ground cumin finely chopped onion tamarind paste pepper curry canola oil cayenne chickpea,indian
25166,23343,indian,ground cloves cumin seed white sugar ground cinnamon vegetable oil bay leaf water long grain rice black peppercorns salt onion,mexican
21031,49424,indian,fennel seeds eggplant garlic chopped cilantro water jalapeno chilies ground coriander ground cumin tomato cooking oil salt onion fresh ginger baking potatoes lemon juice,indian
13880,7378,indian,fresh ginger salt chili flakes dried apricot mustard seeds coriander seeds lemon juice sugar lemon,indian
7830,45980,indian,shallot cumin seed curry leaves salt coriander yoghurt green chilies mango cold water ginger mustard seeds,indian
11740,36093,indian,rice chili powder tumeric oil salt,indian
21047,7233,indian,tandoori spices chili powder chicken garlic paste vinegar salt ground pepper vegetable oil food colouring yoghurt methi,indian
17820,7940,indian,smoked sea salt scallion cauliflower vegetable oil green beans tumeric red pepper flakes brown mustard seeds hot water,indian
11830,12972,indian,fresh ginger root garden peas ground coriander tumeric chili powder paneer onion tomato yoghurt garlic cumin seed fresh coriander vegetable oil salt,indian
38038,26213,indian,cooked rice coriander seeds serrano cauliflower kosher salt diced tomatoes chopped cilantro neutral oil lime ginger tumeric cayenne cumin seed,indian
25868,33403,indian,kosher salt ground cumin cayenne pepper mint leaves plain yogurt hothouse cucumber,indian
7795,38672,indian,chile extra firm tofu paprika cumin seed basmati rice fresh ginger apple cider vinegar paneer chopped cilantro ground cumin coconut oil full fat coconut milk sea salt ground coriander onion crushed tomatoes green onions garlic mustard seeds ground turmeric,indian
11840,10149,indian,vegetable oil fresh lime juice cilantro leaves cilantro sprigs lime zest carrot,mexican
5474,26959,indian,green cardamom pods basmati rice vanilla extract sugar cinnamon sticks,indian
6360,33957,indian,fresh ginger yoghurt diced tomatoes cayenne pepper ground cinnamon ground black pepper butter garlic chopped cilantro fresh garam masala boneless skinless chicken breasts paprika lemon juice tomato sauce jalapeno chilies heavy cream salt ground cumin,indian
21005,29944,indian,stone flower asafoetida water ginger green cardamom oil onion tomato kabuli channa fennel salt green chilies dried red chile peppers curry leaves black pepper coriander seeds garlic brown cardamom mustard seeds ground turmeric clove stock grated coconut cinnamon cilantro leaves cumin seed bay leaf,indian
7817,33006,indian,butter curd garlic paste salt maida flour baking powder cilantro leaves,indian
33832,8729,indian,water vegetable oil cinnamon sticks granny smith apples dried apricot chopped onion curry powder salt basmati rice sliced almonds peeled fresh ginger garlic cloves,indian
13400,38698,indian,olive oil salt garlic cloves peeled fresh ginger chopped onion ground cumin garam masala chickpea chopped cilantro fresh tomato ground red pepper organic vegetable broth,indian
29723,12369,indian,tandoori spices paneer corn flour diced onions chili powder oil capsicum salt ginger paste garlic paste lemon gram flour,indian
12916,30186,indian,cinnamon sticks butter onion water bay leaf salt basmati rice,indian
29726,25154,indian,tomato garam masala green chilies garlic paste bell pepper onion red chili powder large eggs oil tumeric cilantro leaves cumin,indian
35879,40088,indian,mild curry powder coriander powder salt olive oil boneless skinless chicken breasts coconut milk tumeric mint leaves cilantro leaves tomato paste garam masala paprika onion,indian
1753,7094,indian,sugar green chilies coriander green peas lemon juice garam masala oil fennel seeds salt wheat flour,indian
28233,22705,indian,fresh ginger garlic ground coriander onion water vegetable oil chickpea lemon juice ground cumin tomato garam masala salt cumin seed ground turmeric amchur paprika green chilies ground cayenne pepper,indian
6989,36303,indian,cream chili powder salt tomato lime juice ginger fresh coriander butter chicken pieces sugar garam masala garlic,indian
12903,6885,indian,extra firm tofu salt curry powder light coconut milk mango minced ginger garlic sesame oil chopped cilantro,indian
30099,25680,indian,chicken broth full fat coconut milk green chilies onion pepper salt garlic cloves coconut oil garam masala cumin seed tomato paste fresh ginger skinless chicken breasts red bell pepper,indian
6622,9305,indian,garlic paste papad curd ground cumin pepper paneer corn flour bread crumbs chili powder oil garam masala salt chaat masala,indian
29705,42592,indian,kaffir lime leaves peanut waxy potatoes red chili peppers tamarind paste onion fish sauce Massaman curry paste cinnamon sticks light brown sugar jasmine rice coconut cream beef steak,thai
6632,37318,indian,mint sauce milk yoghurt garam masala,indian
30049,45512,indian,red chili powder garam masala green peas oil water floret green chilies ginger paste tomato amchur cilantro cumin seed garlic paste coriander powder salt ground turmeric,indian
15556,8312,indian,smoked haddock fillet long grain rice ground turmeric curry powder vegetable oil onion egg bay leaves chopped parsley milk ground coriander coriander,british
13374,37030,indian,red chili powder yoghurt rice sliced mushrooms stone flower garlic paste cilantro leaves green chilies onion clove mint star anise green cardamom cinnamon sticks fennel seeds mace grated nutmeg oil shahi jeera,indian
13375,48695,indian,fresh cilantro ginger ground turmeric moong dal garam masala cumin seed lime salt asafetida water chili powder ghee,indian
30055,7909,indian,dried lentils coriander seeds baking powder ginger garlic cloves curry powder ground black pepper red pepper flakes low sodium chicken stock onion egg milk sweet potatoes cracked black pepper scallion kosher salt garam masala vegetable oil all purpose flour carrot,indian
18210,15107,indian,ginger rice flour onion sugar green chilies ghee curry leaves salt chopped cilantro peppercorn maida flour cumin seed sooji,indian
29731,29787,indian,unsweetened coconut milk cider vinegar coffee garlic cloves tumeric coconut salt onion cauliflower water vegetable oil medium shrimp chile tamarind cumin seed,indian
35873,47270,indian,cream butter diced tomatoes in juice ground ginger minced onion salt whole milk yoghurt large garlic cloves masala tomato paste boneless skinless chicken breasts lemon juice,indian
7005,402,indian,red chili peppers potato oil ground turmeric garlic paste garam masala green chilies mustard seeds water salt lemon juice ground cumin spinach coriander powder cumin seed onion,indian
38423,14498,indian,black pepper boneless skinless chicken breasts salt tumeric cayenne paprika allspice garlic powder cinnamon cumin boneless chicken skinless thigh cooking oil extra virgin olive oil,moroccan
24541,23745,indian,chicken broth potato rice cauliflower olive oil garlic tumeric chicken breasts onion curry powder ginger cumin,indian
3288,23266,indian,neutral oil bay leaves ginger medium shrimp unsalted butter mint sprigs yellow onion basmati rice green cardamom pods whole cloves cilantro cinnamon sticks ground turmeric black peppercorns large garlic cloves salt serrano chile,indian
15654,41497,indian,sugar cooking spray long grain rice finely chopped onion light coconut milk curry powder green peas large shrimp ground ginger jalapeno chilies salt,indian
24521,34623,indian,cauliflower sea salt crushed red pepper mustard seeds water ground tumeric ground coriander tomato sauce ginger peanut oil potato garlic cumin seed,indian
34446,7453,indian,chicken stock roma tomatoes sea salt garlic cloves chili flakes yoghurt ground coriander chicken curry leaves potato yellow onion ground turmeric ground cloves vegetable oil whole chicken ground cumin,indian
34788,11416,indian,fresh ginger root vegetable oil garlic onion ground turmeric clove potato fresh green bean carrot cashew nuts quinoa butter cardamom frozen peas water broccoli florets cauliflower florets cinnamon sticks chopped cilantro fresh,indian
18152,32503,indian,egg meat red food coloring serrano chile kosher salt paprika corn starch soy sauce chicken wing drummettes garlic canola oil flour ginger chutney,chinese
3290,8849,indian,chopped tomatoes maida flour chutney ajwain potato curd chaat masala red chili powder garbanzo beans salt onion water baking powder oil,indian
20299,48241,indian,red chili peppers lemon oil ground cumin clove coriander powder salt onion garam masala ginger coconut milk spinach pumpkin chickpea ground turmeric,indian
5117,14390,indian,black pepper leek onion cherry tomatoes salt fresh coriander curry sauce potato oil,indian
2047,48,indian,red chili powder ginger onion garam masala salt cashew nuts cooking oil cumin seed ground turmeric tomato vegetable oil corn flour bottle gourd,indian
13425,24045,indian,ginger chopped tomatoes curry paste garlic cloves vegetable oil onion,indian
38430,16336,indian,chile fresh ginger brown mustard seeds garlic cloves chopped cilantro pie dough cayenne cauliflower florets chutney tumeric kosher salt finely chopped onion chopped onion fresh mint sugar garam masala russet potatoes lemon juice canola oil,indian
1740,10614,indian,water ground cardamom rose essence dry coconut sugar khoa,indian
7011,19772,indian,unsalted butter,french
29682,33611,indian,jasmine rice black mustard seeds ground turmeric plain yogurt milk dried red chile peppers fresh curry leaves salt ghee water asafoetida powder,indian
34468,36370,indian,egg active dry yeast white sugar minced garlic butter warm water garam masala bread flour milk salt,indian
5125,34825,indian,tomato ground red pepper rice mustard seeds red lentils coriander seeds red wine vinegar cumin seed ground turmeric water baking potatoes chopped onion fresh parsley light butter peeled fresh ginger salt garlic cloves,indian
29746,46494,indian,nutmeg water star anise rice curd cinnamon sticks shahi jeera stone flower red chili powder mint leaves salt brown cardamom oil onion clove tomato mace garlic green cardamom kewra water bay leaf chicken fennel seeds tumeric ginger cilantro leaves green chilies cardamom peppercorn,indian
5229,44713,indian,tomato buttermilk chopped onion chopped garlic tomato paste olive oil cayenne pepper ground turmeric clove curry powder ginger peppercorn red kidney beans bean heavy cream coriander,indian
24769,32758,indian,ground cinnamon green lentil garlic cumin seed tomato paste red chili peppers butter cilantro leaves onion red kidney beans red chili powder yoghurt salt bay leaf tomato milk ginger green cardamom canola oil,indian
28164,18467,indian,boneless chicken skinless thigh Knorr  Pasta Sides    Chicken flavor cumin nonfat plain greek yogurt red bell pepper olive oil lemon juice chili powder onion,mexican
18324,14335,indian,unsalted butter,french
37380,32756,indian,spinach butter onion garam masala mustard seeds ground cumin red lentils chili powder coconut milk water salt ground turmeric,indian
3164,16254,indian,plain yogurt garlic ground turmeric tomato kosher salt cayenne pepper ground chicken vegetable oil waxy potatoes white onion cilantro leaves,indian
24839,46691,indian,tumeric vegetable oil cinnamon sticks clove water cumin seed chopped cilantro fresh sugar salt fresh lime juice dried lentils fresh ginger garlic cloves basmati rice,indian
28159,35059,indian,nonfat italian dressing peeled fresh ginger boneless skinless chicken breast halves curry powder crushed red pepper ground turmeric olive oil chopped onion nonfat yogurt low salt chicken broth,indian
1909,11401,indian,ground cinnamon cream butter cayenne pepper black pepper jalapeno chilies garlic chopped cilantro fresh plain yogurt boneless skinless chicken breasts salt ground cumin tomato sauce fresh ginger paprika lemon juice,indian
1911,7231,indian,spinach ginger ground cumin whole wheat flour green chilies amchur salt seed oil,indian
18279,49657,indian,jasmine rice cumin seed vegetable oil water salt,indian
3148,27548,indian,clove seed salt fresh mint shahi jeera kewra essence water ginger curd onion cumin mace mutton cardamom coriander saffron nutmeg cinnamon green chilies ghee basmati rice,indian
26002,29335,indian,curry powder chicken breasts apple cooked white rice clove chopped green bell pepper butter salt onion mace sliced carrots chopped celery fresh parsley pepper beef stock stewed tomatoes all purpose flour,cajun_creole
3157,46564,indian,vermicelli nut water ground cardamom brown sugar raisin saffron almond ghee,indian
28186,44703,indian,plain yogurt paprika ground cumin vegetable oil fresh lemon juice cayenne salt ground ginger large garlic cloves ground cardamom,indian
15438,38027,indian,ground cloves ground nutmeg purple onion ground cinnamon curry powder peeled fresh ginger chopped fresh mint cider vinegar jalapeno chilies ground allspice brown sugar olive oil raisin mango,jamaican
13229,14354,indian,tomato coriander powder salt ground turmeric pepper chili powder oil sugar potato cilantro leaves cumin garam masala garlic onion,indian
13206,38999,indian,yellow mustard seeds vegetable oil chopped cilantro sweet onion freshly ground pepper cauliflower unsalted butter fresh lemon juice curry powder salt,indian
5276,48141,indian,milk mutton oil coriander clove seed salt ghee ginger paste garlic paste chili powder green chilies onion semolina black cumin seeds lemon juice ground turmeric,indian
1941,22249,indian,salt green peas mustard seeds vegetable oil cumin seed cauliflower florets,indian
13043,7472,indian,diced tomatoes curry cinnamon sticks dhal ginger cumin seed onion serrano chilies garlic mustard seeds ground turmeric crushed red pepper flakes salt coconut milk,indian
29998,47351,indian,water salt chopped cilantro fresh red chili powder peeled shrimp onion vegetable oil coconut milk ground turmeric brown mustard seeds ground coriander basmati rice,indian
6857,6358,indian,garam masala chilli paste onion rings ginger paste warm water yoghurt rice cashew nuts garlic paste coriander powder kasuri methi onion ground cumin fresh coriander boneless chicken ground cardamom saffron,indian
24693,1802,indian,fresh ginger mustard greens cumin seed spinach unsalted butter salt canola oil cayenne garlic serrano chile water extra firm tofu yellow onion,indian
2024,22719,indian,basmati rice golden raisins pumpkin seeds,indian
1833,43606,indian,kosher salt whole peeled tomatoes cilantro leaves carrot tomato paste curry powder ground red pepper brown lentils ground lamb water jalapeno chilies chopped onion greek yogurt lower sodium chicken broth olive oil light coconut milk garlic cloves ground cumin,indian
13358,17467,indian,tumeric cilantro carrot cumin clove chili powder garlic onion tomato cinnamon salt frozen peas cauliflower potato ginger mustard seeds canola oil,indian
29753,12010,indian,diced onions sweet potatoes peanut oil chopped cilantro fresh large eggs salt garlic cloves water mango chutney cumin seed cauliflower jalapeno chilies all purpose flour Madras curry powder,indian
28128,43507,indian,pepper garam masala kasuri methi oil onion tumeric amchur potato green chilies chopped cilantro chaat masala garlic paste water coriander powder salt lemon juice frozen peas white flour coriander seeds seed cumin seed ghee ground cumin,indian
24723,28783,indian,fresh spinach fresh ginger roma tomatoes cilantro leaves ghee water garam masala garlic cumin seed tumeric curry powder coriander powder salt cinnamon sticks red chili peppers garbanzo beans whole cloves green cardamom onion,indian
6828,27121,indian,tumeric olive oil lemon chicken stock cubes chilli low fat milk ground cloves yoghurt light coconut milk ground coriander bread flour red chili peppers garam masala ginger ground almonds onion ground cumin plain flour fresh coriander boneless skinless chicken breasts garlic smoked paprika plum tomatoes,indian
13315,47767,indian,coarse salt fresh mint water cilantro sprigs serrano chile coconut frozen banana leaf ground cumin salmon large garlic cloves fresh lime juice,mexican
6816,28553,indian,ground cinnamon vinegar garlic cloves ground cumin clove sugar salt onion tomato paste fresh ginger oil chicken ground paprika dry mustard dried red chile peppers,indian
29981,9840,indian,tumeric boneless skinless chicken breasts garlic cayenne pepper sauce plain yogurt lemon yellow onion marsala wine vegetable oil salt ground cumin fresh ginger paprika ground coriander,indian
3124,27298,indian,sugar green chilies water cumin seed peanut lemon juice salt coriander,indian
6831,46504,indian,ghee green chilies cumin ginger piece onion oil green gram,indian
19869,37520,indian,mace diced tomatoes garlic cloves ground turmeric whole cloves cilantro leaves ghee cayenne purple onion cinnamon sticks fresh ginger sea salt cardamom pods basmati rice,indian
38154,14943,indian,golden brown sugar dried apricot purple onion fresh lime juice jalapeno chilies crushed red pepper leg of lamb light molasses fresh orange juice fresh lemon juice coriander seeds lamb shoulder chops tamarind paste chopped cilantro fresh,thai
18419,43964,indian,curry leaves water cumin seed tumeric salt dried red chile peppers asafoetida ginger lemon juice moong dal green chilies canola oil,indian
